,city,date,price,ratio
0,全国(百城),201609,12617,2.83
1,全国(百城),201608,12270,2.17
2,全国(百城),201607,12009,1.63
3,全国(百城),201606,11816,1.32
4,全国(百城),201605,11662,1.70
5,全国(百城),201604,11467,1.45
6,全国(百城),201603,11303,1.90
7,全国(百城),201602,11092,0.60
8,全国(百城),201601,11026,0.42
9,全国(百城),201512,10980,0.74
10,全国(百城),201511,10899,0.46
11,全国(百城),201510,10849,0.30
12,全国(百城),201509,10817,0.28
13,全国(百城),201508,10787,0.96
14,全国(百城),201507,10685,0.54
15,全国(百城),201506,10628,0.56
16,全国(百城),201505,10569,0.45
17,全国(百城),201504,10522,-0.01
18,全国(百城),201503,10523,-0.15
19,全国(百城),201502,10539,-0.24
20,全国(百城),201501,10564,0.21
21,全国(百城),201412,10542,-0.44
22,全国(百城),201411,10589,-0.38
23,全国(百城),201410,10629,-0.40
24,全国(百城),201409,10672,-0.92
25,全国(百城),201408,10771,-0.59
26,全国(百城),201407,10835,-0.81
27,全国(百城),201406,10923,-0.50
28,全国(百城),201405,10978,-0.32
29,全国(百城),201404,11013,0.10
30,全国(百城),201403,11002,0.38
31,全国(百城),201402,10960,0.54
32,全国(百城),201401,10901,0.63
33,全国(百城),201312,10833,0.70
34,全国(百城),201311,10758,0.68
35,全国(百城),201310,10685,1.24
36,全国(百城),201309,10554,1.07
37,全国(百城),201308,10442,0.92
38,全国(百城),201307,10347,0.87
39,全国(百城),201306,10258,0.77
40,全国(百城),201305,10180,0.81
41,全国(百城),201304,10098,1.00
42,全国(百城),201303,9998,1.06
43,全国(百城),201302,9893,0.83
44,全国(百城),201301,9812,1.00
45,全国(百城),201212,9715,0.23
46,全国(百城),201211,9693,0.41
47,全国(百城),201210,9653,0.14
48,全国(百城),201209,9640,0.27
49,全国(百城),201208,9614,0.29
50,全国(百城),201207,9586,0.37
51,全国(百城),201206,9551,0.29
52,全国(百城),201205,9523,-0.66
53,全国(百城),201204,9586,-0.38
54,全国(百城),201203,9623,-0.32
55,全国(百城),201202,9654,-0.43
56,全国(百城),201201,9696,-0.17
57,全国(百城),201112,9712,-0.30
58,全国(百城),201111,9741,-0.55
59,全国(百城),201110,9795,-0.33
60,全国(百城),201109,9827,-0.04
61,全国(百城),201108,9831,0.07
62,全国(百城),201107,9824,0.38
63,全国(百城),201106,9787,0.49
64,全国(百城),201105,9739,0.70
65,全国(百城),201104,9671,0.68
66,全国(百城),201103,9606,0.77
67,全国(百城),201102,9533,0.93
68,全国(百城),201101,9445,1.41
69,全国(百城),201012,9314,1.02
70,全国(百城),201011,9220,1.06
71,全国(百城),201010,9123,0.95
72,全国(百城),201009,9037,1.09
73,全国(百城),201008,8940,-0.46
74,全国(百城),201007,8981,-0.67
75,全国(百城),201006,9042,0.75
0,鞍山,201609,4909,-0.95
1,鞍山,201608,4956,-0.48
2,鞍山,201607,4980,0.32
3,鞍山,201606,4964,-0.64
4,鞍山,201605,4996,-0.42
5,鞍山,201604,5017,-1.10
6,鞍山,201603,5073,-0.24
7,鞍山,201602,5085,-1.63
8,鞍山,201601,5169,0.04
9,鞍山,201512,5167,0.86
10,鞍山,201511,5123,-0.31
11,鞍山,201510,5139,-1.23
12,鞍山,201509,5203,0.76
13,鞍山,201508,5164,1.14
14,鞍山,201507,5106,-0.10
15,鞍山,201506,5111,0.16
16,鞍山,201505,5103,0.20
17,鞍山,201504,5093,-0.37
18,鞍山,201503,5112,-0.08
19,鞍山,201502,5116,0.18
20,鞍山,201501,5107,2.20
21,鞍山,201412,4997,-1.32
22,鞍山,201411,5064,-0.14
23,鞍山,201410,5071,-1.03
24,鞍山,201409,5124,0.83
25,鞍山,201408,5082,-1.13
26,鞍山,201407,5140,-0.58
27,鞍山,201406,5170,-0.62
28,鞍山,201405,5202,-1.96
29,鞍山,201404,5306,0.06
30,鞍山,201403,5303,0.84
31,鞍山,201402,5259,1.29
32,鞍山,201401,5192,-1.05
33,鞍山,201312,5247,-2.18
34,鞍山,201311,5364,-1.36
35,鞍山,201310,5438,1.93
36,鞍山,201309,5335,1.41
37,鞍山,201308,5261,-1.11
38,鞍山,201307,5320,1.16
39,鞍山,201306,5259,0.10
40,鞍山,201305,5254,0.71
41,鞍山,201304,5217,0.95
42,鞍山,201303,5168,0.41
43,鞍山,201302,5147,2.98
44,鞍山,201301,4998,1.46
45,鞍山,201212,4926,0.24
46,鞍山,201211,4914,-2.07
47,鞍山,201210,5018,2.05
48,鞍山,201209,4917,-0.14
49,鞍山,201208,4924,-0.06
50,鞍山,201207,4927,-0.02
51,鞍山,201206,4928,-1.04
52,鞍山,201205,4980,0.24
53,鞍山,201204,4968,-0.36
54,鞍山,201203,4986,-0.66
55,鞍山,201202,5019,-1.45
56,鞍山,201201,5093,-0.70
57,鞍山,201112,5129,0.29
58,鞍山,201111,5114,-0.70
59,鞍山,201110,5150,-0.31
60,鞍山,201109,5166,1.37
61,鞍山,201108,5096,1.03
62,鞍山,201107,5044,0.22
63,鞍山,201106,5033,0.20
64,鞍山,201105,5023,0.78
65,鞍山,201104,4984,0.44
66,鞍山,201103,4962,0.43
67,鞍山,201102,4941,0
68,鞍山,201101,4941,0.43
69,鞍山,201012,4920,1.09
70,鞍山,201011,4867,1.29
71,鞍山,201010,4805,-0.66
72,鞍山,201009,4837,1.21
73,鞍山,201008,4779,2.66
74,鞍山,201007,4655,-0.79
75,鞍山,201006,4692,0.69
0,包头,201609,5481,0.40
1,包头,201608,5459,0
2,包头,201607,5459,-0.62
3,包头,201606,5493,0.11
4,包头,201605,5487,0.24
5,包头,201604,5474,0.39
6,包头,201603,5453,-0.76
7,包头,201602,5495,-0.07
8,包头,201601,5499,-0.11
9,包头,201512,5505,0.04
10,包头,201511,5503,-1.26
11,包头,201510,5573,1.51
12,包头,201509,5490,1.87
13,包头,201508,5389,0.04
14,包头,201507,5387,-0.72
15,包头,201506,5426,1.01
16,包头,201505,5372,-0.85
17,包头,201504,5418,0.06
18,包头,201503,5415,-0.35
19,包头,201502,5434,0.11
20,包头,201501,5428,-0.73
21,包头,201412,5468,-0.33
22,包头,201411,5486,-0.31
23,包头,201410,5503,-1.61
24,包头,201409,5593,-1.46
25,包头,201408,5676,1.76
26,包头,201407,5578,-1.10
27,包头,201406,5640,-3.66
28,包头,201405,5854,-1.33
29,包头,201404,5933,-0.97
30,包头,201403,5991,0.66
31,包头,201402,5952,-0.93
32,包头,201401,6008,-0.74
33,包头,201312,6053,1.10
34,包头,201311,5987,1.32
35,包头,201310,5909,0.72
36,包头,201309,5867,0.58
37,包头,201308,5833,0.17
38,包头,201307,5823,-0.45
39,包头,201306,5849,0.24
40,包头,201305,5835,0.81
41,包头,201304,5788,0.96
42,包头,201303,5733,1.94
43,包头,201302,5624,1.32
44,包头,201301,5551,0.51
45,包头,201212,5523,-0.05
46,包头,201211,5526,-1.02
47,包头,201210,5583,0.67
48,包头,201209,5546,-0.50
49,包头,201208,5574,-0.54
50,包头,201207,5604,0.07
51,包头,201206,5600,2.60
52,包头,201205,5458,0.07
53,包头,201204,5454,-0.40
54,包头,201203,5476,-0.15
55,包头,201202,5484,1.52
56,包头,201201,5402,-0.28
